,Feature A,Feature B,H-stat,H (boot mean),H 95% CI (boot),Interpretazione,Spearman ρ,p(ρ),Grid A (min–max),Grid B (min–max),N usati PDP,N totale subset
1,MSE V,Age,0.267,0.264,"[0.230, 0.289]",Moderata,-0.028,0.6785140329511365,1.18–1.78,58.00–82.00,219,219
2,Weigth,Duration (years),0.227,0.218,"[0.146, 0.260]",Moderata,-0.034,0.6169989065505972,62.00–178.00,0.69–3.14,219,219
3,MSE V,Weigth,0.218,0.214,"[0.178, 0.259]",Moderata,-0.012,0.862628689106713,1.18–1.78,62.00–178.00,219,219
4,Weigth,Gait Speed,0.196,0.203,"[0.175, 0.235]",Moderata,-0.306,3.928529007932722e-06,62.00–178.00,0.53–1.38,219,219
5,MSE ML,iHR V,0.194,0.194,"[0.171, 0.230]",Moderata,0.15,0.02693766263346342,1.18–2.29,46.20–84.95,219,219
6,iHR V,MSE V,0.193,0.198,"[0.171, 0.227]",Moderata,-0.056,0.41172291312676146,46.20–84.95,1.18–1.78,219,219
7,iHR V,MSE AP,0.183,0.181,"[0.152, 0.218]",Moderata,-0.086,0.20731942709664353,46.20–84.95,1.07–1.75,219,219
8,MSE ML,Weigth,0.175,0.175,"[0.149, 0.199]",Moderata,0.023,0.7368588160685831,1.18–2.29,62.00–178.00,219,219
9,MSE ML,MSE AP,0.175,0.181,"[0.111, 0.246]",Moderata,0.422,7.557360303311342e-11,1.18–2.29,1.07–1.75,219,219
10,iHR V,H-Y,0.172,0.168,"[0.157, 0.180]",Moderata,-0.304,4.5151263485421075e-06,46.20–84.95,1.00–4.00,219,219
11,MSE AP,Weigth,0.171,0.173,"[0.135, 0.207]",Moderata,0.006,0.927916530191234,1.07–1.75,62.00–178.00,219,219
12,MSE AP,Age,0.166,0.161,"[0.109, 0.200]",Moderata,-0.022,0.7447958274991364,1.07–1.75,58.00–82.00,219,219
13,iHR V,Weigth,0.165,0.177,"[0.145, 0.210]",Moderata,-0.171,0.011201519189724177,46.20–84.95,62.00–178.00,219,219
14,MSE ML,MSE V,0.157,0.163,"[0.129, 0.204]",Moderata,0.452,2.076705605901067e-12,1.18–2.29,1.18–1.78,219,219
15,MSE AP,Gait Speed,0.151,0.16,"[0.139, 0.190]",Moderata,0.06,0.37473458221023914,1.07–1.75,0.53–1.38,219,219
16,iHR V,Duration (years),0.148,0.135,"[0.069, 0.173]",Debole,-0.072,0.28908429590268936,46.20–84.95,0.69–3.14,219,219
17,MSE V,H-Y,0.141,0.141,"[0.123, 0.165]",Debole,0.061,0.3700383647967458,1.18–1.78,1.00–4.00,219,219
18,iHR V,Age,0.136,0.133,"[0.100, 0.167]",Debole,-0.06,0.3789298201859078,46.20–84.95,58.00–82.00,219,219
19,MSE AP,H-Y,0.133,0.131,"[0.117, 0.148]",Debole,0.129,0.057268318615492385,1.07–1.75,1.00–4.00,219,219
20,MSE V,MSE AP,0.126,0.132,"[0.099, 0.168]",Debole,0.304,4.632136056049892e-06,1.18–1.78,1.07–1.75,219,219
21,iHR V,Gait Speed,0.117,0.125,"[0.110, 0.146]",Debole,0.47,1.969583009058396e-13,46.20–84.95,0.53–1.38,219,219
22,Weigth,Age,0.111,0.107,"[0.081, 0.135]",Debole,-0.094,0.16678778303996458,62.00–178.00,58.00–82.00,219,219
23,MSE V,Gait Speed,0.108,0.114,"[0.091, 0.134]",Debole,0.033,0.6239982882358994,1.18–1.78,0.53–1.38,219,219
24,MSE ML,H-Y,0.107,0.106,"[0.077, 0.120]",Debole,0.021,0.7594882551760312,1.18–2.29,1.00–4.00,219,219
25,MSE V,Duration (years),0.098,0.095,"[0.073, 0.130]",Debole,0.133,0.05001941854101385,1.18–1.78,0.69–3.14,219,219
26,MSE AP,Duration (years),0.078,0.078,"[0.069, 0.089]",Debole,0.141,0.03701158019738577,1.07–1.75,0.69–3.14,219,219
27,MSE ML,Age,0.076,0.081,"[0.067, 0.094]",Debole,-0.102,0.13257842154579116,1.18–2.29,58.00–82.00,219,219
28,MSE ML,Duration (years),0.071,0.069,"[0.043, 0.103]",Debole,0.119,0.07921416654836463,1.18–2.29,0.69–3.14,219,219
29,MSE ML,Gait Speed,0.068,0.073,"[0.053, 0.088]",Debole,0.059,0.38609252053565535,1.18–2.29,0.53–1.38,219,219
30,Weigth,H-Y,0.06,0.057,"[0.045, 0.067]",Debole,0.301,5.6868186224813116e-06,62.00–178.00,1.00–4.00,219,219
