bin,n,frac_pos,prob_mean,abs_gap
"(0.108, 0.204]",6,0.3333333333333333,0.14932903670403672,0.1840042966292966
"(0.204, 0.249]",5,0.4,0.23294878975191477,0.16705121024808525
"(0.249, 0.271]",6,0.0,0.2610633209383211,0.2610633209383211
"(0.271, 0.306]",5,0.2,0.282384945956821,0.082384945956821
"(0.306, 0.369]",6,0.16666666666666666,0.3373670733201984,0.17070040665353173
"(0.369, 0.487]",5,0.4,0.4395494241869242,0.0395494241869242
"(0.487, 0.609]",5,0.8,0.5164836517649019,0.2835163482350982
"(0.609, 0.666]",6,0.16666666666666666,0.6527814905002406,0.48611482383357396
"(0.666, 0.758]",5,0.6,0.7009163399100897,0.10091633991008975
"(0.758, 0.838]",6,1.0,0.8032177504208754,0.1967822495791246
