fold,ROC_AUC,PR_AUC,Brier,Precision@0.40,Recall@0.40,F1@0.40
1,0.8901098901098901,0.9375575691365163,0.13316827274706583,0.8,0.8571428571428571,0.8275862068965518
2,0.967032967032967,0.9709114414996767,0.1260909690210371,0.6842105263157895,1.0,0.8125000000000001
3,0.804733727810651,0.8009905243204838,0.1809095313611036,0.7142857142857143,0.7692307692307693,0.7407407407407408
4,0.9112426035502958,0.9189245395127748,0.13897887689084834,0.7692307692307693,0.7692307692307693,0.7692307692307693
5,0.7869822485207101,0.752224296568188,0.19445108422354365,0.6470588235294118,0.8461538461538461,0.7333333333333334
6,0.650887573964497,0.7261055369751022,0.22682553095202193,0.6923076923076923,0.6923076923076923,0.6923076923076923
7,0.7692307692307693,0.7697830512875761,0.19799622889509974,0.6875,0.8461538461538461,0.7586206896551724
8,0.7633136094674556,0.8001776001776002,0.18836848969924258,0.625,0.7692307692307693,0.6896551724137931
9,0.7751479289940828,0.8194485253308783,0.1963209409741569,0.625,0.7692307692307693,0.6896551724137931
10,0.9763313609467454,0.9796597633136093,0.11390130257368918,0.8,0.9230769230769231,0.8571428571428571
