,RF_importance,SHAP_mean_abs
MSE ML,0.19402704220795486,0.0917531253332497
Weigth,0.1133487070999834,0.05366281813042091
Gait Speed,0.1611088568136108,0.04336731591067592
MSE V,0.12029917643606682,0.04325501744847998
iHR V,0.10183405047747558,0.042147118519409436
"Sex (M=1, F=2)",0.030248466518670844,0.02874872874123189
Age,0.07405410185265866,0.027191138628505005
MSE AP,0.09278498353436018,0.027129213914240263
H-Y,0.053853588090973535,0.024231562459959173
Duration (years),0.05844102696824536,0.010780912191991102
