Combo,Len,Positives,AUC,F1,Accuracy,Recall
Constipation_Depression,2,89,0.7160493827160493,0.358974358974359,0.6794871794871795,0.25925925925925924
Constipation_Hyposmia_REM,3,43,0.6857988165680474,0.0,0.8205128205128205,0.0
Constipation,1,146,0.6701203208556151,0.7628865979381443,0.7051282051282052,0.8409090909090909
REM_Depression,2,116,0.6514950166112956,0.45161290322580644,0.5641025641025641,0.4
Hyposmia_REM,2,57,0.6451301832208294,0.0,0.7692307692307693,0.0
Constipation_REM_Depression,3,62,0.6364852809991078,0.09523809523809525,0.7564102564102564,0.05263157894736842
Constipation_REM,2,92,0.6314285714285715,0.3783783783783784,0.7051282051282052,0.25
Hyposmia,1,91,0.6242857142857143,0.3902439024390244,0.6794871794871795,0.2857142857142857
Constipation_Hyposmia_Depression,3,41,0.5991161616161617,0.14285714285714285,0.8461538461538461,0.08333333333333333
Constipation_Hyposmia,2,67,0.5892241379310345,0.19354838709677416,0.6794871794871795,0.15
Depression,1,158,0.5888888888888889,0.7304347826086957,0.6025641025641025,0.875
Hyposmia_Depression,2,59,0.586574074074074,0.0,0.7435897435897436,0.0
REM,1,168,0.5406681190994916,0.7563025210084034,0.6282051282051282,0.8823529411764706
Hyposmia_REM_Depression,3,35,0.5101763907734058,0.0,0.8589743589743589,0.0
Constipation_Hyposmia_REM_Depression,4,25,0.3919642857142857,0.0,0.8974358974358975,0.0
