pt,NB_model,NB_all,NB_none
0.05,0.368421052631579,0.368421052631579,0.0
0.07179487179487179,0.3535911602209945,0.3535911602209945,0.0
0.09358974358974359,0.33992542111353996,0.33804809052333806,0.0
0.11538461538461538,0.3241106719367589,0.32173913043478264,0.0
0.1371794871794872,0.31038768066999867,0.3046062407132244,0.0
0.15897435897435896,0.30033259423503333,0.28658536585365857,0.0
0.18076923076923074,0.2836534357661119,0.267605633802817,0.0
0.20256410256410257,0.23431745103770832,0.2475884244372991,0.0
0.22435897435897434,0.22163786626596546,0.22644628099173558,0.0
0.24615384615384617,0.17291280148423005,0.20408163265306123,0.0
0.26794871794871794,0.1493711192485273,0.1803852889667251,0.0
0.2897435897435897,0.16074827699376437,0.1552346570397113,0.0
0.3115384615384615,0.17745048247841547,0.12849162011173193,0.0
0.3333333333333333,0.17272727272727276,0.10000000000000009,0.0
0.3551282051282051,0.15890113862280864,0.06958250497017898,0.0
0.3769230769230769,0.15510662177328843,0.037037037037037035,0.0
0.3987179487179487,0.12804807133165344,0.0021321961620470176,0.0
0.42051282051282046,0.10941271118262269,-0.03539823008849541,0.0
0.4423076923076923,0.11034482758620687,-0.07586206896551717,0.0
0.46410256410256406,0.09708568943018706,-0.11961722488038262,0.0
0.4858974358974359,0.08270233507141234,-0.16708229426433918,0.0
0.5076923076923077,0.10454545454545455,-0.21874999999999978,0.0
0.5294871794871795,0.11132028734208568,-0.2752043596730245,0.0
0.5512820512820513,0.09818181818181812,-0.3371428571428573,0.0
0.573076923076923,0.1569205569205569,-0.40540540540540526,0.0
0.5948717948717949,0.11139240506329114,-0.4810126582278481,0.0
0.6166666666666667,0.08300395256916995,-0.5652173913043479,0.0
0.6384615384615385,0.09941972920696324,-0.6595744680851067,0.0
0.6602564102564102,0.09296740994854204,-0.7660377358490563,0.0
0.6820512820512821,0.08563049853372433,-0.8870967741935486,0.0
0.7038461538461539,0.1022432113341204,-1.0259740259740262,0.0
0.7256410256410256,0.06100254885301615,-1.1869158878504669,0.0
0.7474358974358974,0.055283802491924314,-1.3756345177664975,0.0
0.7692307692307693,0.030303030303030297,-1.6000000000000005,0.0
0.791025641025641,0.07272727272727272,-1.8711656441717786,0.0
0.8128205128205128,0.01818181818181818,-2.2054794520547945,0.0
0.8346153846153846,0.01818181818181818,-2.6279069767441867,0.0
0.8564102564102564,0.0,-3.178571428571427,0.0
0.8782051282051282,0.0,-3.926315789473683,0.0
0.9,0.0,-5.000000000000001,0.0
